machine_id,serial_number,device_type,manufacturer,firmware_version,mac_address,ip_address,installation_date,latitude,longitude,municipio,operating_center,reference_network,connectivity_type,signal_strength_dbm,machine_type,sector,shift,age_days,maintenance_delay_days,tool_wear_pct,temperature_c,vibration_mm_s,pressure_bar,oil_level_pct,coolant_level_pct,humidity_pct,voltage_v,current_a,power_kw,rpm,noise_db,smoke_ppm,gas_ppm,network_latency_ms,error_count_24h,restart_count_7d,severity
M-000,SN-RM-0000-85442,Smart Flow Sensor,Siemens,3.1.2,00:97:2E:43:8A:DC,10.6.27.98,2015-11-12,41.9188,12.77855,Municipio XI,CO Flaminia,RETE_IDRICA,LoRaWAN,-63.3,PUMP,B2,NIGHT,1618,83,45.12,91.98,4.56,12.55,8.07,43.83,65.19,407.78,52.19,58.71,1548.57,78.23,13.94,3.8,83.61,16,6,FAILURE
M-001,SN-RM-0001-11934,Pressure Transmitter IoT,Emerson,3.0.0,D0:ED:9C:83:36:04,10.3.175.39,2020-11-24,41.828949,12.274948,Municipio III,CO Roma Ovest,RETE_GAS,Ethernet,-52.1,COMPRESSOR,C2,NIGHT,1432,33,50.96,76.02,2.16,12.69,81.6,65.62,47.2,395.3,45.03,51.35,3073.41,62.81,3.94,0.0,34.98,1,0,NORMAL
M-002,SN-RM-0002-66034,Electric Edge Monitor,Schneider Electric,2.3.1,D9:2A:B4:25:22:90,10.9.6.94,2017-12-15,41.777459,12.320584,Municipio II,CO Prenestina,RETE_ELETTRICA,Ethernet,-64.2,PUMP,C1,DAY,241,22,49.44,68.63,1.62,9.67,72.96,87.47,42.07,396.37,35.13,38.82,1478.24,65.18,2.02,1.72,46.7,0,0,NORMAL
M-003,SN-RM-0003-37877,Power Edge Controller,Schneider Electric,2.4.0,27:7E:25:3E:9D:FD,10.1.178.143,2018-10-23,41.858965,12.669212,Municipio VII,CO Roma Sud,RETE_ENERGIA,4G,-70.2,COMPRESSOR,B1,NIGHT,2562,39,49.94,77.31,1.81,12.3,55.36,72.5,64.6,382.73,52.54,54.43,2831.08,59.32,2.14,0.21,43.49,1,0,NORMAL
M-004,SN-RM-0004-79965,Pressure IoT Node,Emerson,3.1.2,30:9B:57:AE:A4:97,10.4.207.23,2019-10-15,41.818159,12.563402,Municipio IX,CO Prenestina,RETE_IDRICA,WiFi,-49.3,MOTOR,A2,DAY,2157,6,45.96,69.31,1.86,6.32,58.11,67.76,56.7,408.38,57.18,69.48,1779.01,62.06,0.0,1.4,27.81,1,0,NORMAL
M-005,SN-RM-0005-91319,Compressor Edge Node,Siemens,4.0.0,DD:79:05:99:D9:C2,10.4.144.102,2017-10-16,41.727266,12.651738,Municipio VI,CO Roma Centro,RETE_GAS,4G,-78.3,PUMP,A2,DAY,2417,21,100.0,85.19,3.32,10.07,35.03,79.71,50.1,408.38,42.36,63.51,1472.33,73.24,1.92,0.02,46.69,6,2,WARNING
M-006,SN-RM-0006-12787,Vibration Sensor Node,Yokogawa,2.4.0,E7:F8:77:CE:D3:8C,10.7.165.34,2018-04-04,41.780684,12.563849,Municipio I,CO Roma Sud,RETE_ELETTRICA,4G,-63.3,PUMP,C2,NIGHT,902,45,39.29,67.3,2.26,8.18,61.41,87.03,46.08,399.95,36.66,42.03,1531.63,68.54,3.29,0.0,39.27,1,0,NORMAL
M-007,SN-RM-0007-33799,Speed Sensor Node,Honeywell,3.2.5,3C:ED:94:43:E3:FC,10.6.206.62,2018-09-07,41.929025,12.762069,Municipio XIV,CO Roma Est,RETE_ENERGIA,Ethernet,-93.3,PUMP,B2,DAY,2429,111,96.81,107.37,4.9,14.38,31.43,59.62,63.21,425.17,69.93,75.66,1242.49,84.57,79.39,12.41,98.67,19,5,SEVERE
M-008,SN-RM-0008-10010,Pressure IoT Node,Yokogawa,4.0.0,8A:14:00:D8:26:B9,10.1.3.182,2021-11-23,41.896448,12.472361,Municipio VIII,CO Roma Est,RETE_IDRICA,LoRaWAN,-71.1,MOTOR,A1,DAY,1060,0,39.55,75.82,1.74,6.53,85.58,86.44,54.33,403.52,43.57,52.0,1699.49,69.9,1.81,4.14,63.6,0,0,NORMAL
M-009,SN-RM-0009-43700,Gas IoT Sensor,GE Digital,3.0.0,8E:DE:66:99:CF:54,10.8.19.121,2023-08-12,41.971746,12.668879,Municipio XIV,CO Roma Sud,RETE_GAS,WiFi,-65.8,TURBINE,A2,NIGHT,3576,23,100.0,97.62,3.94,17.34,40.31,63.8,21.26,397.63,89.49,96.31,5122.64,67.95,2.66,3.59,16.99,5,1,WARNING
M-010,SN-RM-0010-57158,Vibration Sensor Node,Bosch,4.0.0,05:7A:9C:98:6E:24,10.1.18.242,2021-02-28,41.773825,12.549406,Municipio IV,CO Roma Nord,RETE_ELETTRICA,WiFi,-66.5,PUMP,A2,DAY,2690,31,53.98,77.5,2.23,10.77,81.01,58.85,51.0,388.28,34.17,55.07,1486.98,63.81,0.0,1.05,21.75,0,0,NORMAL
M-011,SN-RM-0011-80857,Turbine IoT Gateway,GE Digital,2.3.1,45:53:6F:55:07:09,10.1.33.194,2018-03-25,41.750948,12.593649,Municipio XIV,CO Aurelia,RETE_ENERGIA,5G,-45.2,TURBINE,B2,NIGHT,1811,36,85.46,86.44,3.86,16.26,57.1,61.08,64.21,410.68,78.13,91.06,5256.23,68.53,1.7,0.77,45.75,2,0,MAINTENANCE
M-012,SN-RM-0012-99439,Smart Flow Sensor,Honeywell,4.1.3,45:B9:9E:CC:DD:1A,10.8.103.182,2020-03-07,41.783595,12.484337,Municipio XV,CO Prenestina,RETE_IDRICA,4G,-57.7,TURBINE,B2,NIGHT,1760,13,51.61,93.3,1.77,13.43,48.8,65.19,58.59,405.24,78.43,74.52,4719.5,68.33,1.06,1.69,50.53,2,0,NORMAL
M-013,SN-RM-0013-82494,Pressure Transmitter IoT,Yokogawa,2.3.1,8E:82:3B:16:D5:D9,10.4.116.89,2023-03-24,41.775217,12.671743,Municipio IV,CO Casilina,RETE_GAS,4G,-63.6,MOTOR,C2,DAY,3322,47,80.97,76.94,2.25,5.09,16.19,66.1,63.24,397.15,44.58,63.48,1842.94,71.32,4.71,1.14,27.44,1,1,MAINTENANCE
M-014,SN-RM-0014-10931,Vibration Sensor Node,Bosch,2.4.0,84:61:75:AE:7F:C4,10.2.80.50,2022-02-07,41.830333,12.429057,Municipio II,CO Tiburtina,RETE_ELETTRICA,Ethernet,-68.3,COMPRESSOR,C1,DAY,694,76,86.94,111.98,6.18,17.2,36.09,45.55,46.48,410.67,60.67,78.15,2555.62,83.38,33.3,52.17,111.04,22,8,SEVERE
M-015,SN-RM-0015-83102,Turbine IoT Gateway,Honeywell,2.4.0,CC:69:CA:B3:67:53,10.6.94.31,2022-05-05,41.865381,12.661332,Municipio I,CO Roma Centro,RETE_ENERGIA,WiFi,-50.6,MOTOR,A2,DAY,2880,11,65.09,87.4,2.42,8.23,65.24,66.79,51.15,398.3,37.74,60.37,1690.39,74.55,4.17,1.55,35.71,2,0,MAINTENANCE
M-016,SN-RM-0016-16579,Pump Monitor Gateway,Bosch,2.4.0,2F:CD:79:89:3D:4A,10.4.188.93,2018-05-19,41.928503,12.545764,Municipio I,CO Roma Est,RETE_IDRICA,LoRaWAN,-61.3,TURBINE,C2,DAY,1566,26,59.43,106.34,4.69,16.21,64.48,67.72,65.87,393.12,86.52,108.13,4998.21,70.95,4.67,0.71,61.06,4,2,WARNING
M-017,SN-RM-0017-36398,Pressure Transmitter IoT,Siemens,3.2.5,25:A5:B5:26:1C:0F,10.7.232.26,2015-01-26,41.874234,12.677922,Municipio XIII,CO Prenestina,RETE_GAS,WiFi,-79.4,COMPRESSOR,A2,DAY,3121,43,99.07,106.87,4.82,13.02,33.09,50.56,57.78,405.57,66.31,84.57,3017.13,78.72,2.36,7.66,31.78,12,4,FAILURE
M-018,SN-RM-0018-73098,Motor IoT Controller,ABB,2.3.1,43:B8:06:B0:5A:9A,10.4.214.195,2016-10-08,41.945574,12.294219,Municipio VII,CO Roma Est,RETE_ELETTRICA,LoRaWAN,-72.1,MOTOR,B1,NIGHT,2386,0,64.42,90.92,2.4,8.95,66.55,39.78,41.3,402.35,57.74,48.01,1767.43,87.0,0.0,0.0,33.65,9,3,WARNING
M-019,SN-RM-0019-89903,Power Edge Controller,GE Digital,3.0.0,68:D3:62:BA:A9:80,10.9.6.96,2022-04-30,41.790265,12.411674,Municipio II,CO EUR,RETE_ENERGIA,4G,-63.1,MOTOR,C2,DAY,1454,23,70.22,91.85,3.1,9.06,62.71,46.97,64.5,394.67,51.01,74.33,1677.16,59.85,5.22,4.82,33.92,8,0,WARNING
M-020,SN-RM-0020-38575,Pump Monitor Gateway,Schneider Electric,3.1.2,E3:CE:54:D9:C3:A9,10.7.235.179,2015-01-10,41.880778,12.738094,Municipio XII,CO Roma Centro,RETE_IDRICA,LoRaWAN,-85.6,TURBINE,B2,NIGHT,1824,47,47.06,95.24,2.14,15.42,81.74,64.23,54.66,412.13,74.23,72.85,5196.35,62.59,1.32,0.88,14.42,0,1,NORMAL
M-021,SN-RM-0021-49199,Compressor Edge Node,Yokogawa,4.0.0,F0:EE:AA:75:9F:F6,10.9.59.87,2017-04-09,41.894964,12.270272,Municipio VII,CO Prenestina,RETE_GAS,Ethernet,-90.0,TURBINE,A1,DAY,35,75,80.05,112.05,5.01,18.55,38.17,46.19,45.47,395.21,99.75,107.87,5541.02,74.52,8.25,11.42,86.3,9,2,FAILURE
M-022,SN-RM-0022-25968,Electric Edge Monitor,Emerson,3.0.0,7B:58:83:F1:A5:68,10.1.205.83,2017-02-12,41.823205,12.585742,Municipio XI,CO Aurelia,RETE_ELETTRICA,Ethernet,-57.2,PUMP,A1,DAY,1024,1,65.71,77.57,2.33,10.57,80.75,54.11,29.55,390.77,48.03,53.7,1494.5,67.53,0.0,1.67,40.87,2,0,MAINTENANCE
M-023,SN-RM-0023-23187,Turbine IoT Gateway,Yokogawa,2.4.0,F6:CB:52:BD:6C:9E,10.6.250.74,2016-11-25,41.904663,12.498951,Municipio XIII,CO Prenestina,RETE_ENERGIA,4G,-77.8,COMPRESSOR,A2,DAY,3119,47,83.11,82.18,2.87,11.57,24.33,79.63,78.78,411.36,43.05,70.85,2974.2,75.17,4.5,1.95,51.1,3,0,MAINTENANCE
M-024,SN-RM-0024-55613,Pressure IoT Node,Schneider Electric,3.1.2,5D:A9:65:AF:09:91,10.4.205.191,2020-04-26,41.969708,12.464256,Municipio VII,CO Casilina,RETE_IDRICA,4G,-49.4,PUMP,C1,NIGHT,2905,0,58.29,68.73,2.61,10.24,76.5,79.61,52.66,397.97,30.22,39.09,1406.73,60.5,3.02,1.59,13.2,0,0,NORMAL
M-025,SN-RM-0025-21630,Pressure Transmitter IoT,Siemens,3.1.2,40:E2:A1:F9:DF:3E,10.5.96.126,2023-12-02,41.866381,12.595478,Municipio III,CO Roma Ovest,RETE_GAS,4G,-82.6,MOTOR,C1,NIGHT,2792,18,56.34,85.84,3.21,8.26,23.77,84.42,48.92,393.72,61.63,52.78,1767.09,74.38,0.0,0.28,61.57,7,2,WARNING
M-026,SN-RM-0026-71499,Vibration Sensor Node,Yokogawa,2.4.0,ED:98:C5:DD:12:41,10.8.106.146,2023-05-08,41.886756,12.654752,Municipio XII,CO Casilina,RETE_ELETTRICA,Ethernet,-55.3,TURBINE,A2,DAY,1680,48,77.17,109.59,3.55,16.71,48.28,87.55,68.43,392.93,87.91,97.32,5098.13,79.64,2.06,1.42,40.21,3,1,WARNING
M-027,SN-RM-0027-79588,Speed Sensor Node,Honeywell,2.3.1,E0:D8:4E:40:FF:55,10.3.169.22,2023-01-21,41.88377,12.411187,Municipio XV,CO Roma Ovest,RETE_ENERGIA,WiFi,-63.1,PUMP,C2,DAY,2468,35,72.17,80.76,2.38,9.65,51.33,88.59,35.33,388.28,30.15,52.51,1522.21,69.62,0.0,0.0,27.5,3,0,MAINTENANCE
